Wild Robert,Fiction_Children & Young Adult_Fantasy,Heather's parents are the caretakers of the stately home Castlemaine_ and Heather would love living there - if it weren't for the tourists. Every summer they invade Castlemaine_ and one day they even trample into all of her secret quiet spots. The only one left is a peculiar little mound that the villagers say is the grave of Wild Robert_ a legendary magician who lived 350 years ago. When Heather cries out for Wild Robert to use his magical powers on the tourists_ she never expects a handsome young man to appear right in front of her. She never expects all the mischief he causes_ either! Will Castlemaine ever be the same once Wild Robert has returned?,,,,,
Warlock at the Wheel and Other Stories,Fiction_Children & Young Adult_Fantasy_Diana Wynne  Jones,"Contains:



 Warlock at the Wheel. 
The Plague of Peacocks
The Fluffy Pink Toadstool
Auntie Bea's Day Out
Carruthers
No One
Dragon Reserve_ Home Eight
The Sage of Theare",,,,,
A Tale of Time City,Fiction_Children & Young Adult_Science Fiction_Time Travel,"It's About Time
Time City  built far in the future on a patch of space outside time  holds the formidable task of overseeing history_ yet it's starting to decay_ crumble .... What does that say for the future of the world ... for the past ... for the present? Two Time City boys_ determined to save it all_ think they have the answer in Vivian Smith_ a young Twenty Century girl whom they pluck from a British train station at the start of World War II. But not only have they broken every rule in the book by traveling back in time  they have the wrong person! Unable to return safely_ Vivian's only choice is to help the boys restore Time City. Otherwise_ she'll be stuck outside time forever!",,,,,
A Sudden Wild Magic,Fiction_Children & Young Adult_Fantasy,"Our world has long been protected by ""The Ring"" - a benevolent secret society of witches and conjurers dedicated to the continuance and well-being of humankind. Now_ in the face of impending climatic disaster_ the Ring has uncovered a conspiracy potentially more destructive than any it has ever had to contend with. For eons_ the mages of a neighboring universe have been looting the Earth of ideas_ innovations and technologies - all the while manipulating events and creating devastating catastrophes for their own edification. And unless the brazen piracy is halted_ our planet is certainly doomed. Aboard a modified city omnibus_ a raiding party of adepts is dispatched to Arth_ the stronghold of the interfering Pentarchy - a world ruled by magic_ ritual and unbending tradition. And while the Inner Ring on Earth battles spies_ traitors and the terrifying sendings of an evil_ would-be queen_ a motley group of commandoes launches a cynical attack on the virtue of the great citadel of Arth - determined to conquer the mighty fortress through internal dissension_ psychological sabotage and kamikaze sex. But ultimately the destiny of two separate universes is in the hands of a trio of unlikely champions: a dotty old Earth woman_ caretaker to many cats and a bizarre_ simianlike familiar...a rebellious heir to the Pentarchy_ whose birthright enables him to perform astonishing feats...and Zillah_ a beautiful but troubled young mother who unknowingly possesses the wildest_ strangest_ and most powerful magic of all.",,,,,
The Lives of Christopher Chant,Fiction_Children & Young Adult_Fantasy,"His father and uncles are enchanters_ his mother a powerful sorceress_ yet nothing seems magical about Christopher Chant except his dreams. Night after night_ he climbs through the formless Place Between and visits marvelous lands he calls the Almost Anywheres. Then Christopher discovers that he can bring real_ solid things back from his dreams. Others begin to recognize the extent of his powers_ and they issue an order that turns Christopher's life upside down: Go to Chrestomanci Castle to train to be the controller of all the world's magic.
The Lives of Christopher Chant is the adventure-filled story of the boyhood of Chretomanci_ the famous magician who also appears in Charmed Life_ Witch Week_ and The Magicians of Caprona.",,,,,
Aunt Maria,Fiction_Children & Young Adult_Fantasy,In Cranbury-on-Sea Aunt Maria rules with a rod of sweetness far tougher than iron and deadlier than poison. Strange and awful things keep happening in Cranbury. Why are all the men apparently gray-suited zombies? Why do all the children -- if you ever see them -- behave like clones? And what has happened to Mig's brother_ Chris? Could gentle_ civilized Aunt Maria_ with her talk and daily tea parties_ possibly have anything to do with it?,,,,,
Pandora's Curse,Fiction_Adventure_Political Intrigue and Terrorism,"During World War II_ at a secret Nazi submarine base_ containers crafted entirely from looted wartime gold were hidden away. The treasure was not the solid-gold chests_ but the cargo they carried - an artifact so lethal that whoever possessed ""Pandora's boxes"" held the power to unleash hell upon Earth.
In the unforgiving wastes of Greenland_ geologist Philip Mercer uncovers a 
long-abandoned U.S. Army base buried under the ice - and a long-dead body still hot with radiation. Before Mercer and his colleague_ the seductive Dr. Anika Klein_ can investigate further_ a flash fire engulfs the base_ and they are ordered to evacuate. But their plane is forced to land when a bomb is discovered on board_ and they must seek shelter from the murderous weather in a hidden ice cavern.
That's where they learn the startling truth. A powerful German corporation has launched an operation to destroy evidence of its Nazi past. But one of the corporate mercenaries knows what's inside the Pandora boxes_ and he plans to hold the entire world hostage--unless Mercer can find a way to stop him.",,,,,
The Explorers,Fiction_Adventure_Military and Naval Adventure_Historical_The Antipodes (everything Else)_Sagas_Wild Frontiers And Exotic Lands,"They were born of rogues and adventurers_ brigands and thieves-brave men and women determined to wrest a life from a land still echoing with the violent cry of revolution_ the dark song of untamed desire.
Into this vast_ roiling landscape came beautiful Jessica Maclaine_ whose invincible spirit plunged her into the dark_ sensual heart of New South Wales where scandal and intrigue were the stronghold of glory_ where the condemned found freedom in the deadly peril of an unruly frontier...
For_ at the birth of a new century_ they were all part of one glorious dream-the legacy of lovely Jenny Taggart_ who saw in a renegade nation the bold promise of tomorrow_ the splendid_ treacherous destiny of the explorers.",,,,,
At Home in Mitford,Fiction_Religious_Christianity_Christian Life And Faith,"It's easy to feel at home in Mitford. In these high_ green hills_ the air is pure_ the village is charming_ and the people are generally lovable.
Yet_ Father Tim_ the bachelor rector_ wants something more. Enter a dog the size of a sofa who moves in and won't go away. Add an attractive neighbor who begins wearing a path through the hedge. Now_ stir in a lovable but unloved boy_ a mystifying jewel theft_ and a secret that's sixty years old.
Suddenly_ Father Tim gets more than he bargained for. And readers get a rich_ provincial comedy in which mysteries and miracles abound.",,,,,
A Light in the Window,Fiction_Religious_Christianity_Christian Life And Faith,Jan Karon continues the fresh and beautifully written story of a small mountain town in the South. The village rector_ Father Tim_ can no longer deny his feelings for his neighbor. But what about the wealthy widow who has been wooing him with casseroles? It's clear that Father Tim is in need of divine intervention.,,,,,
"These High, Green Hills",Fiction_Religious_Christianity_Christian Life And Faith,In this irresistible third book of The Mitford Years series_ Father Timothy Kavanagh is married to more than his lovable and eccentric Episcopal parishioners. He's also married to Cynthia_ his vivacious and talented neighbor. Suddenly_ the routine existence of a sixtysomething bachelor is out the window. How will they keep his sofa-sized dog at a safe distance from her arrogant_ albeit famous_ cat? Can he learn to love the old-Italian-villa look his wife is bent on giving the rectory? These concerns pale_ however_ beside the growing pains of Dooley Barlowe_ the thrown-away boy whom the rector loves as his own son. Then_ the poverty and violence of an area known as the Creek comes knocking at the rectory door. Clearly_ being at home in Mitford has its challenges. And_ when the rector goes on a camping trip with the church youth group_ he's forced to confront the toughest challenge of all - his own fears.,,,,,
Karen's Roller Skates,Fiction_Children & Young Adult,"Karen has new roller skates. She is a very good skater. She can even do tricks.
But oh_ no! Karen falls down and breaks her wrist! She has to go to the hospital and get a cast. 
Karen wants somebody famous to sign her cast. It isn't going to be easy - but Karen won't give up till she gets the job done!",,,,,
Lore of the Witch World,Fiction_Fantasy_Sword and Sorcery_Science Fiction_World Versions_Alternate and Parallel Worlds,"First published September 1980_ this is a collection of previously published stories_ plus a new novelette_ by Andre Norton with an introduction by C.J. Cherryh.
Contents: 
Introduction by C. J. Cherryh
Spider Silk  na  Flashing Swords! #3_ ed. Lin Carter_ Dell_ 1976 
Sand Sister  na  Heroic Fantasy_ ed. Gerald W. Page & Hank Reinhardt_ DAW_ 1979 
Falcon Blood  ss  Amazons!_ ed. Jessica Amanda Salmonson_ DAW_ 1979 
Legacy from Sorn Fen  ss  Garan the Eternal_ FPCI_ 1973 
Sword of Unbelief  nv  Swords Against Darkness #2_ ed. Andrew J. Offutt_ Zebra_ 1977 
Toads of Grimmerdale  na  Flashing Swords! #2_ ed. Lin Carter_ Dell_ 1974 
Changeling  nv 
Cover art for the DAW editions is by Michael Whelan.
(na=novella_ a short novel less than 40_000 words. nv=novelette_ a novel-like story less than about 17_000 words.)",,,,,
Chronicles of the Witch World,Fiction_Fantasy_Sword and Sorcery_Science Fiction_World Versions_Alternate and Parallel Worlds,Contents: Three novels of the Estcarp cycle:Three Against the Witch World (1965)Warlock of the Witch World (1967) Sorceress of the Witch World (1968),,,,,
Karen's Worst Day,Fiction_Children & Young Adult,"Karen is having a bad-luck day. Her favorite jeans are missing. There's no prize in the Crunch-O cereal box. And Boo-Boo the cat runs away from her!
Karen tries everything to make her day better. But her bad luck just won't go away. She even gets punished and sent to her room!
Poor Karen - will this be her worst day ever?",,,,,
Karen's Kittycat Club,Fiction_Children & Young Adult,"Karen's best friend Hannie just got a new kitten. Now all her friends have cats. And Karen has a great idea. She can start a club like her big sister Kristy. It will be a Kittycat Club!
What will the club do? Karen can't baby-sit like Kristy...but she can cat-sit! Will anyone want Karen as a cat-sitter? They'd better - running a club is hard work!",,,,,
Karen's School Picture,Fiction_Children & Young Adult_School,"Karen has to get glasses - two pairs! One pair for reading and one for all the time. Karen does not want glasses. Her school pictures are going to be taken soon! But Karen has to...so she picks out some pretty pink and blue ones. Karen thinks she looks very grown-up.
Then Yicky Ricky at school calls her Four-eyes. If Karen wears her glasses for the school picture_ Ricky will make fun of her. But Karen is not a wimp! Glasses or no glasses - that Ricky is going to get it!",,,,,
Karen's Baby,Fiction_Children & Young Adult,"Karen's friend_ Nancy_ is going to be a big sister. Her mommy is having a baby. At first Karen is so jealous. But then Nancy promises to share the baby with her.
Now Karen is super excited. Nancy might even bring the baby to school for Show and Share! Karen and Nancy can't wait for the baby to be born. But how much longer will it be?",,,,,
Karen's Little Sister,Fiction_Children & Young Adult_Family & Relationships,"Everbody used to love Karen. She was cute. She was the littlest sister. But now baby Emily is in their family_ and Karen feels left out.
Then Emily gets sick and everybody has to take care of her. Even Karen. And that's when Karen finds out that being a big sister is the most fun of all!",,,,,
Downtiming the Night Side,Fiction_Science Fiction_World Versions_Time Travel,What do you do when you're drafted into a war that encompasses all time_ to fight battles that rage across the ages? How do you survive when every jump through time means there is less left that is really you? Who do you trust when it becomes clear that victory will eliminate all that you hold dear? For time travel is the triumph of the age - and a deadly trap. The traveler arrives not in the flesh_ but in the body of someone_ anyone_ then alive. Ron Moosic_ former government agent_ is now a young girl_ and someone is trying to eliminate him/her. Ron doesn't know who_ or why_ or even when...but he'd better find out fast. Because for him_ time is running out.,,,,,
New CopyA Book of Stories and Sketches,Fiction_Crime and Mystery_Dorothy B.  Hughes,,,,,,
The Black and White Blues,Fiction_Crime and Mystery_Suspense_Dorothy B.  Hughes_Lawrence  Block_Donald E.  Westlake_Leigh  Brackett_David  Goodis_Richard  Matheson_John D.  MacDonald_Wade  Miller_Ed  Bryant_Marcia  Muller_John  Lutz_Evan  Hunter_L.J.  Washburn_Norbert  Davis_Mickey  Spillane_Gil  Brewer_Helen  Nielsen_James M.  Reasoner_Fredric  Brown_Robert J.  Randisi_Craig  Rice_John  Jakes_Clark  Howard_Jack  Ritchie_Talmage  Powell_William Campbell  Gault_Marthayn  Pelegrimas_Stephen  Marlowe_Richard S.  Prather_Day  Keene_C. B. Gilford_Vin  Packer_Jay  Flynn_Donald  Wandrei_Herbert D.  Kastle,"Originally published in New CopyA Book of Stories and Sketches.
Also appears in American Pulp.",,,,,
Cristemasse is Forever,Fiction_Crime and Mystery_Suspense_Margaret  Maron_Billie Sue  Mosiman_Matthew  Costello_Jon L.  Breen_Dorothy B.  Hughes_Barbara  Paul_Christopher  Fahy_Bill  Crider_Douglas  Borton_John  Lutz_Jan  Grape_Wendi  Lee_Terry  Beatty_Peter  Crowther_Ron  Goulart_Richard T.  Chizmar_Norman  Partridge_Morris  Hershman_Larry  Segriff_Mark Richard  Zubro_Dick  Lochte,Published in Santa Clues.,,,,,
Danger at Deerfawn,Fiction_Crime and Mystery_Suspense_Ruth  Rendell_Donald E.  Westlake_Patricia  Highsmith_Robert  Bloch_Avram  Davidson_Peter  Lovesey_Dorothy B.  Hughes_Mignon G.  Eberhart_W.R.  Burnett_Helen  Nielsen_Edward D.  Hoch_Margery  Allingham_Jean  Potts_Anthony  Boucher_John Dickson  Carr_Celia  Fremlin_Robert  Barnard_Simon  Brett_Michael  Gilbert_Stanley  Ellin_Clark  Howard_Julian  Symons_James  Powell_Ellery  Queen_Thomas  Burke_Florence V.  Mayberry_Frederick Irving  Anderson_Ursula  Curtiss_Barry  Perowne_George Harmon  Coxe_Charlotte  Armstrong_Anthony  Gilbert_Hugh  Pentecost_C. Daly  King_Philip  MacDonald_Michael  Arlen_Nicholas  Blake_Anthony  Armstrong_Octavus Roy  Cohen_C.S.  Forester_Andrew  Garve_A.H.Z.  Carr_Harold R.  Daniels_David  Ely_Nedra  Tyre_Thomas  Walsh_Robert  Twohy_George  Baxt_David  Alexander,"Originally published in the August issue of Ellery Queen Mystery Magazine.

Also appears in Fifty Years of the Best from Ellery Queens Mystery Magazine.",,,,,
The Granny Woman,Fiction_Crime and Mystery_Lawrence  Block_Donald E.  Westlake_Leigh  Brackett_James M.  Cain_David  Goodis_Ross  MacDonald_John D.  MacDonald_Bill  Pronzini_Ed  Gorman_Max Allan  Collins_Chester  Himes_Loren D.  Estleman_Sara  Paretsky_Marcia  Muller_Dorothy B.  Hughes_John  Lutz_Evan  Hunter_Lia  Matera_Norbert  Davis_Mickey  Spillane_Gil  Brewer_Fredric  Brown_Robert J.  Randisi_Stuart M.  Kaminsky_Benjamin M.  Schutz_John  Jakes_Talmage  Powell_William Campbell  Gault_Carroll John  Daly_Stephen  Marlowe_William P. McGivern_Richard S.  Prather,"Originally published in Gamma #2.
Also appears in A Century of Noir.",,,,,
The Homecoming,Fiction_Crime and Mystery_August  Derleth_Dorothy B.  Hughes_Brett  Halliday_Anthony  Boucher_Craig  Rice_Ellery  Queen_Lawrence  Treat_George Harmon  Coxe_Robert  Arthur_Kurt  Steel_Richard  Burke_Helen  McCloy_William Lindsay  Gresham_Q.  Patrick_Edward D.  Radin_Baynard  Kendrick_Ken  Crossen_Percival  Wilde_Phoebe Atwood  Taylor_Howard  Haycraft,"Originally published in Murder Cavalcade.
Reprinted in Rex Stout Mystery #9 (1947).",,,,,
The Third Book of Crime-Craft,Fiction_Crime and Mystery_Dorothy B.  Hughes,"Edited by: Mystery Writers of America

Abridged from Murder Cavalcade (1946).
Contents:The Doctor Makes It Murder by George Harmon CoxeEye Witness by Robert ArthurChange For Twenty by Kurt SteelTwenty-Dollar Debt  by Lawrence TreatThe Corpse in Grampa's Bed by Richard BurkeThe Homecoming by Dorothy B. HughesThe Nameless Clue by Helen McCloyTrick-or-Treat by Anthony BoucherCase of the Blind Witness by William Lindsay GreshamThe Million-Dollar Motive by Brett HallidayThe Last of Mrs. Maybrick by Q. PatrickThe Café Society Murder by Edward D. Radin",,,,,
A Tree Grows in Brooklyn,Fiction_General Fiction,The Nolans lived in the Williamsburg slums of Brooklyn from 1902 until 1919....Their daughter Francie and their son Neeley knew more than their fair share of the privations and sufferings that are the lot of a great city's poor. Primarily this is Francie's book. She is a superb feat of characterization_ an imaginative_ alert_ resourceful child. And Francie's growing up and beginnings of wisdom are the substance of A Tree Grows in Brooklyn.,,,,,
Murder Cavalcade,Fiction_Crime and Mystery_Dorothy B.  Hughes,"Features twenty stories by Craig Rice (pseudonym of Georgiana Ann Randolph)_ Baynard Kendrick_ George Harmon Coxe_ Robert Arthur_ Ken Crossen_ Kurt Steel_ Percival Wilde_ Lawrence Treat_ August Derleth_ Richard Burke_ Dorothy B. Hughes_ Helen McCloy_ Phoebe Atwood_ Anthony Boucher_ William Gresham_ Brett Halliday_ Q. Patrick_ Edward D. Radin_ Ellery Queen (""The Golden Twenty"")_ and Howard Haycraft (""The Whodunit in World War II""). Abridged and republished in 1959 as The Third Book of Crime-Craft.
Contents:
His Heart Could Break by Craig Rice
Death at the Porthole by Baynard Kendrick
The Doctor Makes It Murder by George Harmon Coxe
Eye Witness by Robert Arthur
The Crime in the Envelope by Ken Crossen
Change For Twenty by Kurt Steel
Behind the Door by Percival Wilde
Twenty-Dollar Debt by Lawrence Treat
The Adventure of the Sotheby Salesman by August Derleth
The Corpse in Grampa's Bed by Richard Burke
The Homecoming by Dorothy B. Hughes
The Nameless Clue by Helen McCloy
The Swan-Boat Murder by Phoebe Atwood Taylor
Trick-or-Treat by Anthony Boucher
Case of the Blind Witness by William Gresham
The Million-Dollar Motive by Brett Halliday
The Last of Mrs. Maybrick by Q. Patrick
The Café Society Murder by Edward D. RadinThe Golden Twenty by Ellery Queen
The Whodunit in World War II by Howard Haycraft",,,,,
Moonseed,Fiction_Adventure_Biothrillers,A geological virus from the moon infects the Earth's rocks_ turning them into quicksand-like puddles. Soon the whole Earth will be uninhabitable. Only geologist Henry Meacher sees the danger. Will he be able to save mankind in time?,,,,,
Horatio Ruminates,Fiction_Crime and Mystery_Suspense_Bill  Pronzini_J. A. Jance_Peter  Lovesey_Joan  Hess_Jon L.  Breen_Dorothy B.  Hughes_Barbara  Paul_Christopher  Fahy_Bill  Crider_David H.  Everson_Douglas  Borton_Les  Roberts_John  Lutz_Gene  DeWeese_Barbara  Collins_Barbara  D'Amato_William J.  Reynolds,"The battle between man and cat for dominance and residence of a house.

Published in Cat Crimes.",,,,,
Capital Crimes,Fiction_Crime and Mystery_Suspense,Lawrence Sanders presents the ultimate Washington thriller_ a novel as sexy and shocking as The Fourth Deadly Sin and Timothy's Game. A power-crazed holy man named Brother Kristos has slipped into the halls of the White House. To the President of the United States_ he is a miracle worker-the only person who can heal his young son. But to the rest of the free world_ he is a political nightmare come true. A stormy alliance between good and evil_ heaven and hell...,,,,,
Panama,Fiction_Crime and Mystery_Detective Story and Detectives_Historical_European,"Paris_ 1892. The American historian Henry Adams_ grandson of one President and great-grandson of another_ is looking for Miriam Talbott_ a young American woman studying in Paris. Miriam is alive in ways Adams can scarcely remember being: bright_ beguiling_ talented_ and attractive. She draws him out of the ""posthumous"" life he has led since the suicide of his wife_ Clover_ seven years before. But when he goes looking for Miriam_ no one at her given address has seen her. And when another woman's body is fished out of the Seine and identified as hers_ Adams knows she is in trouble and needs his assistance. Adams soon discovers that Miriam's disappearance is somehow involved with the great Panama Affair that threatens to engulf France. Before it went bankrupt_ the French Panama Canal Company had bribed nearly half the members of the Chamber of Deputies to gain legislation favorable to its interests. Now one director of the company has been found dead; other directors flee; and for a week_ the entire city awaits the revelation of the names of the chequards_ the long list of deputies witless enough to have accepted their bribes in the form of checks.",,,,,
Homeland,Fiction_Historical_North America_Nineteenth Century,As America hurtles through the final explosive events of the nineteenth century_ a young German immigrant named Pauli Kroner is about to realize his dream: He will taste a life of privilege in the Chicago mansion of his uncle_ Joe Crown_ head of a brewery dynasty. But Pauli's ultimate clash with that stern_ proud patriarch will force him to a risky existence on the city's dark side. Here he will become Paul Crown_ a bold_ ambitious man driven by a powerful vision. His rise from penniless newcomer to pioneer newsreel cameraman will span a tumultuous decade of strikes_ war_ family scandal_ and heartbreak in the country he has chosen as his...,,,,,
American Dreams,Fiction_Historical_North America_Nineteenth Century,From America's master storyteller and writer of historical fiction comes the epic story of the Crown family-first introduced in the New York Times bestseller Homeland. As the second generation comes of age_ the Crowns strive to find their place in a turbulent America_ which stands at the dawn of a new century. From the speedways of Detroit to the unbridled glamour of a young Hollywood_ to the daring heights of early aviation-theirs is a story of passion and adventure_ glory_ and ambition_ with all the wonder_ promise_ and splendor of...,,,,,
Emerald Decision,Fiction_Adventure_Spy/Espionage,"The Man: McBride is a brilliant and cunning American author on a research hunt that could cost him his life. He comes upon a shattering secret more than forty years old-a secret that explodes into death_ danger_ violence_ and reveals yet another secret_ this one about his own mysterious past.
The Secret: The covert plan was launched in the 1940s. Its content and execution were so lethal and shocking that all evidence of it had to be obliterated. Its horrifying secret has been safe for four decades-until now. Until McBride's obsessive curiosity unleashes an espionage nightmare by opening the Pandora's box called Emerald.",,,,,
Pleading Guilty,"Fiction_Crime and Mystery_Legal Thriller_Graham  Greene_John  Grisham_Mark  Leyner_Joe R.  Lansdale_Andrew  Vachss_Henry  Slesar_Brian  Hodge_Scott  Turow_John  Lutz_Carolyn  Wheat_Janice  Law_Morris  Hershman_Mat  Coward_Michael  Hemmingson_Tom  Sweeney_James  Powell_Martin  Edwards_Erle Stanley  Gardner_O'Neil  De Noux_C.J.  Henderson_Michael A.  Black_Francis M.  Nevins, Jr._Louis  Auchincloss_John F.  Dobbyn_Irwin  Shaw_James  Grippando_Kevin L.  Donihe_Robert J.  Hoyden_Mike  Wiecek_Marc  Lodge_K.L.  Jones_Michael  Mallory_Jeremy  Russell_Ted  Hertel, Jr._Howard T.  Rose_K. Anderson  Yancy_Ian  Creasey_Lyn  McConchie_Madison Smartt  Bell",His first two bestsellers_ Presumed Innocent and The Burden of Proof_ were among the most spectacularly acclaimed blockbusters of recent years. Now_ with Pleading Guilty_ Scott Turow has created what may be his most compelling character in his most accomplished story to date. Returning to the now-renowned locale of Kindle County_ Turow gives us Mack Malloy_ ex-cop_ not-quite-ex-drunk_ and partner-on-the-wane in one of the country's most high-powered law firms. A longtime ally of the wayward_ Mack is on the trail of a colleague_ his firm's star litigator_ who has vanished with over five million dollars of a client's money. Mack will descend into the enthralling and ominous heart of a city...taking you with him on his final_ desperate_ and courageous crusade to reinvent himself from the depths of his shattered soul.,,,,,
The Deceiver,Fiction_Adventure_Political Intrigue and Terrorism,"Frederick Forsyth_ master of the international thriller_ takes us deeper than ever into the secret corridors of power to tell the riveting story of a modern spymaster fighting to save his career. His name is Sam McCready and for years he has been the Deceiver.
As an intrepid and inventive field agent_ McCready's independent style has often driven him beyond the rules. He has not been afraid to press the CIA to the explosion point-or to play cat-and-mouse with the KGB. He has successfully tricked Qaddafi and the IRA and once even set himself up as governor of a remote Caribbean island torn between Fidel Castro and the Colombian drug trade.
But times have changed and mavericks like McCready are an endangered species. Now_ before a panel of his peers_ McCready must defend his unorthodox exploits or face dismissal. What hangs in the balance is not only his own career_ but the very future of British intelligence.",,,,,
Springwater Seasons,Fiction_Romance_Historical_Frontier And Western Romance,"Linda Lael Miller's national bestselling novels of frontier life overflow with the pasion and warmth of Springwater_ a tiny stagecoach stop taht blossoms into a bustling Montana town.

Rachel - Springwater's first schoolteacher_ she crosses paths with rough-hewn barkeep Trey Hargreaveswho puts a slow burn on her proper Eastern ways.

Savannah - Behind her rouge and bangles_ the dance-hall girl has a sure and steady heart. Can her kind_ gentle love help Dr. Prescott Parrish heal his wounded spirit?

Miranda - An unwed mother in search of a place to call home_ she finds her heart's desire in Springwaterand in the arms of rancher Landry Kildare.

Jessica - The sparks fly when she comes to take charge of her late brother's bankrupt newspaperand finds herself in a heated love match with town mayor Gage Calloway.",,,,,
